Course,Subject Combination,Number of Students (India)
Nuclear Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",55000
Petroleum Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",50000
Space Science,"Physics, Chemistry, Mathematics, Computer Science (Optional)",60000
Robotics,"Physics, Chemistry, Mathematics, Computer Science (Optional)",55000
Biomedical Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",50000
Renewable Energy Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",60000
Cybersecurity,"Physics, Chemistry, Mathematics, Computer Science (Optional)",45000
Industrial Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",65000
Food Technology,"Physics, Chemistry, Mathematics, Biology (Optional)",60000
Civil and Environmental Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",50000
Renewable Energy Technology,"Physics, Chemistry, Mathematics, Biology (Optional)",55000
Automobile Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",60000
Textile Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",70000
Nanoscience and Nanotechnology,"Physics, Chemistry, Mathematics, Biology (Optional)",55000
Industrial Design,"Physics, Chemistry, Mathematics, Biology (Optional)",60000
Fire Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",45000
Bioprocess Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",65000
Bioinformatics,"Physics, Chemistry, Mathematics, Computer Science (Optional)",
Forestry and Wildlife,"Physics, Chemistry, Mathematics, Computer Science (Optional)",
Geoinformatics,"Physics, Chemistry, Mathematics, Computer Science (Optional)",
Mining Engineering,"Physics, Chemistry, Mathematics, Computer Science (Optional)",
Metallurgical Engineering,"Physics, Chemistry, Mathematics",
Packaging Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",
Polymer Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",
Remote Sensing and GIS,"Physics, Mathematics, Geography (Optional)",
Sports Science,Any combination with an emphasis on Biology or Mathematics,
Petroleum Technology,"Physics, Chemistry, Mathematics, Biology (Optional)",
Disaster Management,Any combination with an emphasis on Biology or Mathematics,
Energy Engineering,"Physics, Chemistry, Mathematics",
Renewable Energy Engineering,"Physics, Chemistry, Mathematics, Biology (Optional)",
Sound Engineering,"Physics, Mathematics, Computer Science (Optional)",
Water Resource Engineering,"Physics, Chemistry, Mathematics",
